age,duration,campaign,pdays,previous,y
29,194,1,-1,0,0
46,144,1,-1,0,0
56,212,2,-1,0,0
36,286,1,-1,0,0
59,107,1,-1,0,0
44,247,2,-1,0,0
41,518,1,-1,0,0
33,364,1,-1,0,0
59,178,1,-1,0,0
57,98,1,-1,0,0
56,439,1,-1,0,0
51,79,1,-1,0,0
34,120,3,-1,0,0
43,127,2,-1,0,0
52,175,1,-1,0,0
33,262,2,-1,0,0
29,61,1,-1,0,0
34,78,1,-1,0,0
31,143,1,-1,0,0
55,579,1,-1,0,1
55,677,1,-1,0,0
32,345,1,-1,0,0
38,185,1,-1,0,0
55,100,2,-1,0,0
28,125,2,-1,0,0
23,193,1,-1,0,0
32,136,1,-1,0,0
43,73,1,-1,0,0
32,528,1,-1,0,0
46,541,1,-1,0,0
53,163,1,-1,0,0
34,301,1,-1,0,0
57,46,1,-1,0,0
37,204,1,-1,0,0
59,98,1,-1,0,0
33,71,1,-1,0,0
56,157,2,-1,0,0
48,243,1,-1,0,0
43,186,2,-1,0,0
54,579,2,-1,0,0
51,163,2,-1,0,0
26,610,2,-1,0,0
40,2033,1,-1,0,0
39,85,1,-1,0,0
50,114,2,-1,0,0
41,114,2,-1,0,0
51,57,1,-1,0,0
60,238,1,-1,0,0
52,93,3,-1,0,0
48,128,2,-1,0,0
48,107,1,-1,0,0
39,181,1,-1,0,0
47,303,2,-1,0,0
40,558,5,-1,0,0
45,270,1,-1,0,0
26,228,1,-1,0,0
52,99,1,-1,0,0
54,240,1,-1,0,0
54,673,2,-1,0,1
50,233,3,-1,0,0
35,1056,1,-1,0,0
44,250,1,-1,0,0
53,252,1,-1,0,0
35,138,1,-1,0,0
60,130,1,-1,0,0
53,412,1,-1,0,0
48,179,2,-1,0,0
34,19,2,-1,0,0
54,458,2,-1,0,0
51,717,1,-1,0,0
31,313,1,-1,0,0
35,683,2,-1,0,0
35,1077,1,-1,0,0
38,416,1,-1,0,0
36,146,2,-1,0,0
58,167,1,-1,0,0
40,315,1,-1,0,0
54,140,1,-1,0,0
34,346,1,-1,0,0
31,562,1,-1,0,0
51,172,1,-1,0,0
33,217,1,-1,0,0
55,142,2,-1,0,0
42,67,1,-1,0,0
34,291,1,-1,0,0
33,309,2,-1,0,0
38,248,1,-1,0,0
50,98,1,-1,0,0
43,256,1,-1,0,0
61,82,2,-1,0,0
47,577,1,-1,0,0
48,286,1,-1,0,0
44,477,1,-1,0,0
35,611,2,-1,0,0
35,471,1,-1,0,0
50,381,2,-1,0,0
41,42,1,-1,0,0
41,251,1,-1,0,0
39,408,1,-1,0,0
42,215,1,-1,0,0
38,287,1,-1,0,0
53,216,2,-1,0,0
59,366,2,-1,0,0
36,210,1,-1,0,0
54,288,1,-1,0,0
40,168,1,-1,0,0
47,338,2,-1,0,0
53,410,3,-1,0,0
46,177,1,-1,0,0
39,127,2,-1,0,0
40,357,1,-1,0,0
28,175,1,-1,0,0
35,300,1,-1,0,0
55,136,1,-1,0,0
43,1419,1,-1,0,0
48,125,2,-1,0,0
58,213,3,-1,0,0
33,27,1,-1,0,0
36,238,2,-1,0,0
53,124,1,-1,0,0
47,18,1,-1,0,0
31,730,2,-1,0,0
57,746,2,-1,0,0
53,121,1,-1,0,0
55,247,1,-1,0,0
45,40,1,-1,0,0
53,181,2,-1,0,0
37,79,1,-1,0,0
44,206,1,-1,0,0
49,389,1,-1,0,0
46,127,1,-1,0,0
43,702,1,-1,0,0
38,151,1,-1,0,0
43,117,1,-1,0,0
49,232,3,-1,0,0
42,408,2,-1,0,0
22,179,2,-1,0,0
40,39,1,-1,0,0
39,282,1,-1,0,0
51,714,2,-1,0,0
49,50,1,-1,0,0
53,181,1,-1,0,0
34,142,1,-1,0,0
33,227,1,-1,0,0
50,119,1,-1,0,0
39,361,1,-1,0,0
59,73,3,-1,0,0
30,67,2,-1,0,0
36,350,1,-1,0,0
40,332,2,-1,0,0
53,611,2,-1,0,0
34,113,2,-1,0,0
37,132,1,-1,0,0
42,58,3,-1,0,0
41,151,1,-1,0,0
30,89,2,-1,0,0
37,152,1,-1,0,0
39,611,2,-1,0,0
41,110,2,-1,0,0
40,463,1,-1,0,0
42,562,2,-1,0,1
40,962,1,-1,0,0
57,10,4,-1,0,0
56,118,3,-1,0,0
37,92,2,-1,0,0
59,143,3,-1,0,0
39,189,3,-1,0,0
49,234,2,-1,0,0
38,75,2,-1,0,0
36,189,2,-1,0,0
50,621,3,-1,0,0
41,55,2,-1,0,0
54,310,4,-1,0,0
58,156,2,-1,0,0
30,5,2,-1,0,0
33,225,2,-1,0,0
47,125,2,-1,0,0
50,2,3,-1,0,0
32,286,2,-1,0,0
40,164,2,-1,0,0
37,98,2,-1,0,0
54,742,2,-1,0,0
24,226,3,-1,0,0
54,120,2,-1,0,0
34,362,4,-1,0,0
56,357,2,-1,0,0
31,200,2,-1,0,0
24,204,2,-1,0,0
42,126,3,-1,0,0
57,65,2,-1,0,0
42,107,2,-1,0,0
51,267,2,-1,0,0
57,248,2,-1,0,0
36,215,2,-1,0,0
53,209,2,-1,0,0
50,205,2,-1,0,0
54,83,2,-1,0,0
55,106,3,-1,0,0
44,189,2,-1,0,0
43,105,2,-1,0,0
56,106,2,-1,0,0
54,108,2,-1,0,0
55,311,2,-1,0,0
37,214,2,-1,0,0
33,132,2,-1,0,0
46,358,2,-1,0,0
36,453,2,-1,0,0
51,364,2,-1,0,0
40,136,2,-1,0,0
42,386,2,-1,0,0
51,173,2,-1,0,0
49,241,2,-1,0,0
48,224,3,-1,0,0
32,148,2,-1,0,0
31,196,2,-1,0,0
55,111,4,-1,0,0
40,231,3,-1,0,0
47,316,3,-1,0,0
57,216,3,-1,0,0
41,240,2,-1,0,0
48,669,3,-1,0,0
42,425,2,-1,0,0
30,143,2,-1,0,0
58,174,5,-1,0,0
45,313,3,-1,0,0
49,135,4,-1,0,0
42,146,2,-1,0,0
53,152,2,-1,0,0
51,402,3,-1,0,0
32,213,2,-1,0,0
41,144,3,-1,0,0
43,124,3,-1,0,0
40,183,2,-1,0,0
50,325,2,-1,0,0
34,39,4,-1,0,0
53,503,2,-1,0,0
45,95,4,-1,0,0
39,680,2,-1,0,0
44,421,4,-1,0,0
55,174,3,-1,0,0
46,113,2,-1,0,0
45,808,2,-1,0,0
34,198,3,-1,0,0
36,195,2,-1,0,0
59,347,3,-1,0,0
31,208,2,-1,0,0
44,404,4,-1,0,0
33,396,2,-1,0,0
40,216,4,-1,0,0
46,98,2,-1,0,0
48,350,2,-1,0,0
42,114,2,-1,0,0
27,88,3,-1,0,0
48,379,2,-1,0,0
59,190,3,-1,0,0
46,158,1,-1,0,0
38,102,1,-1,0,0
43,306,1,-1,0,0
38,218,1,-1,0,0
23,54,1,-1,0,0
34,344,1,-1,0,0
38,195,1,-1,0,0
37,652,1,-1,0,0
25,286,1,-1,0,0
48,189,1,-1,0,0
49,83,1,-1,0,0
38,184,2,-1,0,0
43,235,1,-1,0,0
33,290,1,-1,0,0
55,232,1,-1,0,0
38,133,1,-1,0,0
49,318,1,-1,0,0
40,260,3,-1,0,0
43,437,1,-1,0,0
38,402,1,-1,0,0
58,85,1,-1,0,0
57,125,1,-1,0,0
32,501,4,-1,0,0
56,1201,1,-1,0,1
58,253,1,-1,0,0
60,1030,1,-1,0,1
37,149,1,-1,0,0
46,114,1,-1,0,0
27,243,1,-1,0,0
43,769,2,-1,0,0
32,135,3,-1,0,0
40,231,1,-1,0,0
38,76,1,-1,0,0
34,199,1,-1,0,0
47,152,1,-1,0,0
42,124,1,-1,0,0
48,424,1,-1,0,0
29,43,1,-1,0,0
50,154,1,-1,0,0
52,203,2,-1,0,0
50,326,1,-1,0,0
58,393,1,-1,0,0
46,241,3,-1,0,0
38,483,1,-1,0,0
46,259,1,-1,0,0
32,227,1,-1,0,0
51,673,1,-1,0,0
39,576,1,-1,0,0
48,180,2,-1,0,0
36,168,2,-1,0,0
34,90,1,-1,0,0
40,505,1,-1,0,0
43,245,1,-1,0,0
52,186,1,-1,0,0
33,623,1,-1,0,0
49,496,3,-1,0,0
32,118,1,-1,0,0
39,342,1,-1,0,0
40,225,1,-1,0,0
38,185,3,-1,0,0
43,196,2,-1,0,0
39,276,1,-1,0,0
54,76,1,-1,0,0
38,87,1,-1,0,0
40,195,1,-1,0,0
55,744,1,-1,0,0
42,765,1,-1,0,0
39,262,1,-1,0,0
40,119,1,-1,0,0
32,198,2,-1,0,0
55,150,1,-1,0,0
45,241,1,-1,0,0
35,181,1,-1,0,0
58,196,1,-1,0,0
35,149,1,-1,0,0
49,246,1,-1,0,0
34,112,1,-1,0,0
36,309,2,-1,0,0
24,278,1,-1,0,0
34,140,1,-1,0,0
51,136,1,-1,0,0
39,1623,1,-1,0,1
50,101,1,-1,0,0
32,144,1,-1,0,0
42,238,1,-1,0,0
50,354,1,-1,0,0
40,79,1,-1,0,0
46,187,1,-1,0,0
37,451,2,-1,0,0
34,159,1,-1,0,0
44,409,1,-1,0,0
40,170,1,-1,0,0
37,608,1,-1,0,1
33,243,1,-1,0,0
35,145,2,-1,0,0
58,112,1,-1,0,0
39,262,2,-1,0,0
43,124,1,-1,0,0
39,53,1,-1,0,0
36,134,1,-1,0,0
57,204,4,-1,0,0
36,186,1,-1,0,0
50,678,1,-1,0,0
55,182,1,-1,0,0
44,162,1,-1,0,0
44,27,1,-1,0,0
39,699,3,-1,0,0
46,43,1,-1,0,0
39,97,1,-1,0,0
34,1677,1,-1,0,1
40,283,2,-1,0,0
50,323,1,-1,0,0
31,82,1,-1,0,0
37,310,1,-1,0,0
39,185,1,-1,0,0
51,47,1,-1,0,0
41,145,1,-1,0,0
41,204,1,-1,0,0
43,187,1,-1,0,0
30,30,2,-1,0,0
54,472,1,-1,0,0
43,448,1,-1,0,0
59,264,1,-1,0,0
47,169,1,-1,0,0
40,288,1,-1,0,0
32,176,2,-1,0,0
29,215,1,-1,0,0
36,337,1,-1,0,0
55,278,1,-1,0,0
30,188,2,-1,0,0
39,174,2,-1,0,0
39,226,2,-1,0,0
50,190,1,-1,0,0
44,111,2,-1,0,0
37,164,1,-1,0,0
46,157,2,-1,0,0
32,46,1,-1,0,0
37,374,1,-1,0,0
29,349,1,-1,0,0
41,325,1,-1,0,0
45,233,2,-1,0,0
57,531,1,-1,0,0
48,153,1,-1,0,0
60,80,1,-1,0,0
26,232,1,-1,0,0
58,118,1,-1,0,0
34,190,1,-1,0,0
55,918,1,-1,0,1
41,238,1,-1,0,0
50,82,1,-1,0,0
49,198,3,-1,0,0
44,160,2,-1,0,0
44,211,1,-1,0,0
31,120,1,-1,0,0
34,136,1,-1,0,0
46,269,1,-1,0,0
42,157,1,-1,0,0
52,128,1,-1,0,0
29,211,1,-1,0,0
53,267,2,-1,0,0
43,371,2,-1,0,0
38,288,2,-1,0,0
46,221,1,-1,0,0
48,427,1,-1,0,0
30,310,1,-1,0,0
44,158,1,-1,0,0
31,604,3,-1,0,0
42,198,1,-1,0,0
40,145,1,-1,0,0
52,247,1,-1,0,0
45,179,2,-1,0,0
48,73,1,-1,0,0
45,263,2,-1,0,0
34,13,1,-1,0,0
34,79,2,-1,0,0
46,416,1,-1,0,0
49,162,1,-1,0,0
50,129,1,-1,0,0
34,150,1,-1,0,0
40,43,1,-1,0,0
36,191,1,-1,0,0
59,26,1,-1,0,0
45,250,1,-1,0,0
36,146,1,-1,0,0
56,416,1,-1,0,0
42,121,2,-1,0,0
30,114,2,-1,0,0
30,289,1,-1,0,0
47,225,1,-1,0,0
33,123,1,-1,0,0
36,130,2,-1,0,0
39,161,2,-1,0,0
56,149,2,-1,0,0
39,268,2,-1,0,0
42,259,2,-1,0,0
52,26,1,-1,0,0
36,153,1,-1,0,0
35,424,2,-1,0,0
47,179,2,-1,0,0
59,97,1,-1,0,0
57,383,1,-1,0,0
38,440,1,-1,0,0
46,23,1,-1,0,0
34,195,1,-1,0,0
28,1297,3,-1,0,1
38,87,1,-1,0,0
56,427,1,-1,0,0
41,189,1,-1,0,0
52,195,1,-1,0,0
54,179,1,-1,0,0
61,179,1,-1,0,0
53,69,1,-1,0,0
47,105,2,-1,0,0
53,266,3,-1,0,0
46,524,2,-1,0,0
39,96,2,-1,0,0
56,155,2,-1,0,0
55,162,2,-1,0,0
44,352,2,-1,0,0
37,76,4,-1,0,0
35,154,2,-1,0,0
55,310,2,-1,0,0
37,390,3,-1,0,0
30,369,1,-1,0,0
37,112,2,-1,0,0
36,341,3,-1,0,0
38,79,1,-1,0,0
41,140,2,-1,0,0
48,315,1,-1,0,0
55,262,2,-1,0,0
28,174,2,-1,0,0
54,138,3,-1,0,0
30,526,2,-1,0,0
48,135,1,-1,0,0
31,36,5,-1,0,0
38,1906,3,-1,0,0
37,219,2,-1,0,0
37,147,2,-1,0,0
56,407,2,-1,0,0
51,121,1,-1,0,0
39,209,1,-1,0,0
49,92,2,-1,0,0
51,208,1,-1,0,0
43,193,1,-1,0,0
32,144,1,-1,0,0
29,65,1,-1,0,0
48,339,1,-1,0,0
55,285,1,-1,0,0
53,231,1,-1,0,0
47,168,1,-1,0,0
39,278,1,-1,0,0
31,389,1,-1,0,0
39,158,1,-1,0,0
40,145,2,-1,0,0
40,78,2,-1,0,0
48,142,3,-1,0,0
33,87,1,-1,0,0
40,147,2,-1,0,0
59,289,1,-1,0,0
30,703,1,-1,0,1
31,170,3,-1,0,0
35,802,1,-1,0,0
54,381,2,-1,0,0
34,218,4,-1,0,0
32,57,2,-1,0,0
56,304,2,-1,0,0
32,241,3,-1,0,0
42,230,1,-1,0,0
33,262,3,-1,0,0
52,392,2,-1,0,0
52,201,2,-1,0,0
52,145,1,-1,0,0
30,252,1,-1,0,0
44,235,4,-1,0,0
35,235,2,-1,0,0
55,328,2,-1,0,0
33,116,2,-1,0,0
37,246,1,-1,0,0
42,293,1,-1,0,0
43,37,2,-1,0,0
38,132,2,-1,0,0
37,530,2,-1,0,0
31,175,3,-1,0,0
41,524,2,-1,0,0
41,29,3,-1,0,0
29,311,2,-1,0,0
38,211,2,-1,0,0
44,312,3,-1,0,0
39,412,1,-1,0,0
28,392,1,-1,0,0
33,191,1,-1,0,0
41,284,2,-1,0,0
40,144,1,-1,0,0
29,328,1,-1,0,0
38,100,1,-1,0,0
32,226,1,-1,0,0
45,507,1,-1,0,0
33,392,1,-1,0,0
34,684,2,-1,0,0
41,333,2,-1,0,0
41,311,3,-1,0,0
35,128,2,-1,0,0
40,322,2,-1,0,0
60,202,4,-1,0,0
47,92,2,-1,0,0
46,739,3,-1,0,0
31,273,2,-1,0,0
49,260,3,-1,0,0
29,268,2,-1,0,0
31,396,2,-1,0,0
38,262,1,-1,0,0
37,308,3,-1,0,0
35,467,2,-1,0,0
31,320,1,-1,0,0
41,160,3,-1,0,0
46,245,2,-1,0,0
40,189,2,-1,0,0
29,477,1,-1,0,0
49,310,1,-1,0,0
42,65,3,-1,0,0
54,196,2,-1,0,0
40,221,2,-1,0,0
53,197,2,-1,0,0
49,221,2,-1,0,0
40,64,2,-1,0,0
29,75,2,-1,0,0
36,400,2,-1,0,0
37,378,3,-1,0,0
39,118,2,-1,0,0
36,1597,2,-1,0,1
44,346,2,-1,0,0
40,60,3,-1,0,0
49,276,2,-1,0,0
30,152,2,-1,0,0
57,251,3,-1,0,0
24,390,2,-1,0,0
46,306,2,-1,0,0
33,189,3,-1,0,0
43,125,2,-1,0,0
43,234,2,-1,0,0
40,79,2,-1,0,0
44,13,6,-1,0,0
35,283,3,-1,0,0
47,109,2,-1,0,0
33,132,2,-1,0,0
31,144,2,-1,0,0
40,121,2,-1,0,0
36,95,3,-1,0,0
56,31,3,-1,0,0
40,112,3,-1,0,0
41,87,4,-1,0,0
53,593,2,-1,0,0
39,99,2,-1,0,0
44,198,2,-1,0,0
38,285,2,-1,0,0
54,190,3,-1,0,0
58,172,5,-1,0,0
52,213,3,-1,0,0
28,178,2,-1,0,0
36,174,2,-1,0,0
60,631,2,-1,0,0
42,176,5,-1,0,0
42,32,3,-1,0,0
44,1529,2,-1,0,0
51,254,2,-1,0,0
49,200,2,-1,0,0
47,135,2,-1,0,0
37,112,4,-1,0,0
34,314,3,-1,0,0
35,597,3,-1,0,0
35,207,3,-1,0,0
40,410,2,-1,0,0
55,160,3,-1,0,0
55,42,3,-1,0,0
35,55,2,-1,0,0
57,155,2,-1,0,0
53,336,3,-1,0,0
41,233,2,-1,0,0
57,211,2,-1,0,0
45,88,5,-1,0,0
43,208,3,-1,0,0
56,305,2,-1,0,0
31,206,2,-1,0,0
37,128,2,-1,0,0
30,122,3,-1,0,0
30,66,3,-1,0,0
54,66,2,-1,0,0
36,164,2,-1,0,0
55,343,3,-1,0,0
37,126,2,-1,0,0
38,59,3,-1,0,0
48,249,3,-1,0,0
55,406,3,-1,0,0
59,250,7,-1,0,0
37,183,5,-1,0,0
33,190,3,-1,0,0
44,220,2,-1,0,0
57,153,3,-1,0,0
30,95,2,-1,0,0
42,191,3,-1,0,0
51,216,2,-1,0,0
44,89,2,-1,0,0
46,51,3,-1,0,0
29,169,3,-1,0,0
39,148,3,-1,0,0
42,132,3,-1,0,0
50,117,3,-1,0,0
42,275,4,-1,0,0
39,124,2,-1,0,0
55,118,3,-1,0,0
46,479,2,-1,0,0
42,285,3,-1,0,0
45,35,4,-1,0,0
43,322,2,-1,0,0
42,202,2,-1,0,0
30,172,8,-1,0,0
47,201,4,-1,0,0
51,216,3,-1,0,0
38,195,2,-1,0,0
57,96,2,-1,0,0
42,720,2,-1,0,0
32,188,2,-1,0,0
46,70,2,-1,0,0
29,141,3,-1,0,0
59,106,1,-1,0,0
32,395,2,-1,0,0
44,629,2,-1,0,0
40,502,1,-1,0,0
31,446,1,-1,0,0
46,241,1,-1,0,0
43,131,3,-1,0,0
34,312,1,-1,0,0
39,275,6,-1,0,0
30,120,2,-1,0,0
56,333,4,-1,0,0
29,113,1,-1,0,0
40,91,1,-1,0,0
36,128,3,-1,0,0
37,200,2,-1,0,0
35,326,1,-1,0,0
35,292,1,-1,0,0
47,68,1,-1,0,0
31,215,1,-1,0,0
56,97,1,-1,0,0
57,32,1,-1,0,0
36,162,1,-1,0,0
45,152,3,-1,0,0
47,268,1,-1,0,0
29,104,2,-1,0,0
57,852,1,-1,0,0
45,923,3,-1,0,0
31,159,2,-1,0,0
31,953,3,-1,0,0
37,416,2,-1,0,0
30,174,1,-1,0,0
58,180,1,-1,0,0
33,139,1,-1,0,0
39,294,1,-1,0,0
33,102,1,-1,0,0
34,124,1,-1,0,0
36,128,1,-1,0,0
37,130,1,-1,0,0
35,143,1,-1,0,0
55,74,1,-1,0,0
34,105,2,-1,0,0
40,477,2,-1,0,0
42,158,1,-1,0,0
37,250,1,-1,0,0
42,168,1,-1,0,0
35,520,1,-1,0,0
44,171,1,-1,0,0
30,113,1,-1,0,0
45,254,1,-1,0,0
35,149,1,-1,0,0
36,133,2,-1,0,0
49,293,3,-1,0,0
31,485,1,-1,0,0
31,374,1,-1,0,0
39,425,6,-1,0,0
37,207,1,-1,0,0
33,83,3,-1,0,0
37,228,1,-1,0,0
42,149,1,-1,0,0
56,139,1,-1,0,0
37,732,2,-1,0,1
36,142,1,-1,0,0
29,359,1,-1,0,0
54,112,1,-1,0,0
38,1521,1,-1,0,0
43,216,1,-1,0,0
47,161,1,-1,0,0
47,122,2,-1,0,0
38,800,1,-1,0,0
40,615,1,-1,0,0
33,254,1,-1,0,0
33,111,1,-1,0,0
53,354,1,-1,0,0
37,359,1,-1,0,0
40,97,1,-1,0,0
37,327,3,-1,0,0
35,236,1,-1,0,0
49,160,1,-1,0,0
26,180,1,-1,0,0
38,184,1,-1,0,0
52,227,1,-1,0,0
33,109,1,-1,0,0
31,492,2,-1,0,0
32,298,1,-1,0,0
35,83,2,-1,0,0
55,241,2,-1,0,0
32,204,2,-1,0,0
37,131,1,-1,0,0
45,1138,1,-1,0,1
31,123,1,-1,0,0
38,125,1,-1,0,0
37,295,2,-1,0,0
38,287,1,-1,0,0
33,109,1,-1,0,0
38,140,2,-1,0,0
37,204,1,-1,0,0
29,233,1,-1,0,0
42,254,1,-1,0,0
40,184,2,-1,0,0
32,193,1,-1,0,0
47,126,1,-1,0,0
29,230,1,-1,0,0
53,591,1,-1,0,1
31,294,1,-1,0,0
59,173,1,-1,0,0
29,336,1,-1,0,0
59,19,1,-1,0,0
44,153,1,-1,0,0
38,786,1,-1,0,1
49,99,2,-1,0,0
43,243,1,-1,0,0
52,260,1,-1,0,0
40,164,2,-1,0,0
32,255,2,-1,0,0
47,47,1,-1,0,0
33,463,1,-1,0,0
35,192,1,-1,0,0
27,388,7,-1,0,0
50,221,1,-1,0,0
44,126,5,-1,0,0
43,175,5,-1,0,0
51,256,6,-1,0,0
32,202,2,-1,0,0
47,104,1,-1,0,0
34,283,2,-1,0,0
57,448,1,-1,0,0
43,127,1,-1,0,0
40,378,1,-1,0,0
28,67,1,-1,0,0
38,221,2,-1,0,0
37,150,1,-1,0,0
44,144,2,-1,0,0
41,296,2,-1,0,0
37,401,2,-1,0,0
30,435,2,-1,0,0
32,388,1,-1,0,0
30,245,1,-1,0,0
35,143,1,-1,0,0
55,223,2,-1,0,0
52,423,1,-1,0,0
33,231,1,-1,0,0
55,634,2,-1,0,0
33,107,1,-1,0,0
40,227,1,-1,0,0
39,69,1,-1,0,0
54,799,1,-1,0,0
39,109,1,-1,0,0
49,127,1,-1,0,0
52,120,1,-1,0,0
27,68,3,-1,0,0
26,180,2,-1,0,0
40,112,3,-1,0,0
47,444,1,-1,0,0
31,246,2,-1,0,0
53,259,4,-1,0,0
31,223,3,-1,0,0
33,566,2,-1,0,0
35,274,2,-1,0,0
46,49,3,-1,0,0
31,380,2,-1,0,0
35,138,1,-1,0,0
29,376,2,-1,0,0
51,421,2,-1,0,0
33,121,2,-1,0,0
37,36,1,-1,0,0
43,328,2,-1,0,0
42,19,1,-1,0,0
28,866,2,-1,0,0
57,229,3,-1,0,0
38,154,2,-1,0,0
39,56,1,-1,0,0
36,1581,2,-1,0,0
57,117,1,-1,0,0
44,185,1,-1,0,0
48,202,1,-1,0,0
46,279,1,-1,0,0
43,180,5,-1,0,0
49,218,4,-1,0,0
29,129,5,-1,0,0
53,530,2,-1,0,0
30,104,2,-1,0,0
41,60,1,-1,0,0
33,432,1,-1,0,0
47,113,1,-1,0,0
58,516,1,-1,0,0
31,179,2,-1,0,0
38,125,2,-1,0,0
60,386,2,-1,0,0
33,262,2,-1,0,0
33,396,2,-1,0,0
52,294,2,-1,0,0
42,171,2,-1,0,0
30,614,2,-1,0,0
33,118,3,-1,0,0
46,485,4,-1,0,0
51,406,2,-1,0,0
40,287,1,-1,0,0
50,216,2,-1,0,0
42,650,1,-1,0,0
38,55,1,-1,0,0
36,371,2,-1,0,0
37,166,1,-1,0,0
33,48,1,-1,0,0
38,72,1,-1,0,0
52,55,1,-1,0,0
29,144,1,-1,0,0
37,474,1,-1,0,0
34,559,1,-1,0,0
43,261,1,-1,0,0
49,1101,1,-1,0,0
33,236,2,-1,0,0
47,164,1,-1,0,0
50,93,1,-1,0,0
30,912,2,-1,0,0
44,179,2,-1,0,0
44,485,1,-1,0,0
30,206,2,-1,0,0
40,311,1,-1,0,0
41,690,2,-1,0,0
34,362,1,-1,0,0
53,274,1,-1,0,0
35,163,1,-1,0,0
34,345,1,-1,0,0
39,329,1,-1,0,0
39,68,1,-1,0,0
52,143,3,-1,0,0
34,1062,1,-1,0,0
37,71,1,-1,0,0
39,106,1,-1,0,0
52,688,2,-1,0,0
35,103,3,-1,0,0
36,349,2,-1,0,0
48,78,5,-1,0,0
31,194,1,-1,0,0
43,224,5,-1,0,0
43,98,1,-1,0,0
39,607,1,-1,0,0
40,398,1,-1,0,0
58,103,2,-1,0,0
31,241,2,-1,0,0
41,203,1,-1,0,0
37,96,3,-1,0,0
44,238,3,-1,0,0
37,153,3,-1,0,0
39,481,1,-1,0,0
41,2177,4,-1,0,0
52,119,3,-1,0,0
29,245,2,-1,0,0
60,152,2,-1,0,0
32,418,2,-1,0,0
50,198,2,-1,0,0
56,198,2,-1,0,0
48,374,1,-1,0,0
29,51,1,-1,0,0
40,263,1,-1,0,0
42,229,2,-1,0,0
34,154,2,-1,0,0
23,278,6,-1,0,0
30,306,5,-1,0,0
51,114,2,-1,0,0
52,94,2,-1,0,0
45,208,2,-1,0,0
41,169,2,-1,0,0
27,332,2,-1,0,0
50,263,6,-1,0,0
36,353,3,-1,0,0
46,108,6,-1,0,0
44,441,2,-1,0,0
47,46,3,-1,0,0
40,266,2,-1,0,0
36,223,2,-1,0,0
46,105,2,-1,0,0
58,165,3,-1,0,0
30,381,2,-1,0,0
43,228,3,-1,0,0
29,128,2,-1,0,0
41,764,3,-1,0,0
44,113,3,-1,0,0
44,396,4,-1,0,0
59,133,3,-1,0,0
39,42,2,-1,0,0
42,234,4,-1,0,0
31,297,3,-1,0,0
